Date : 2023-06-27 01:17:24
Directory : /home/blackflage10/Desktop/c/minecraft/src
Total : 300 files,  -38885 codes, -13528 comments, -9527 blanks, all -61940 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_mat4.h                        | C++              |       -363 |        -12 |       -132 |       -507 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_plane.h                       | C++              |        -24 |         -6 |        -10 |        -40 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_project.h                     | C++              |        -56 |        -13 |        -24 |        -93 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_quat.h                        | C++              |       -773 |        -34 |       -280 |     -1,087 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_ray.h                         | C++              |        -19 |         -9 |         -7 |        -35 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_struct.c                      | C                |        -61 |         -6 |        -12 |        -79 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_vec2.h                        | C++              |       -441 |         -7 |       -192 |       -640 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_vec3.h                        | C++              |     -1,232 |        -41 |       -459 |     -1,732 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_vec4.h                        | C++              |     -1,064 |        -10 |       -347 |     -1,421 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/tests.c                            | C                |        -50 |        -11 |        -11 |        -72 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/tests.h                                | C++              |     -1,566 |        -52 |        -91 |     -1,709 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/win/build.bat                               | Batch            |         -1 |          0 |         -1 |         -2 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/win/cglm-test.vcxproj                       | XML              |       -422 |          0 |          0 |       -422 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/win/cglm.vcxproj                            | XML              |       -588 |          0 |         -1 |       -589 |
| /home/blackflage10/Desktop/c/minecraft/vendor/glad2/CMakeLists.txt                             | CMake            |         -3 |          0 |         -1 |         -4 |
| /home/blackflage10/Desktop/c/minecraft/vendor/glad2/include/KHR/khrplatform.h                  | C++              |       -117 |       -165 |        -30 |       -312 |
| /home/blackflage10/Desktop/c/minecraft/vendor/glad2/include/glad/gl.h                          | C                |     -3,576 |        -27 |        -42 |     -3,645 |
| /home/blackflage10/Desktop/c/minecraft/vendor/glad2/include/glad/glx.h                         | C++              |       -559 |        -31 |        -73 |       -663 |
| /home/blackflage10/Desktop/c/minecraft/vendor/glad2/src/gl.c                                   | C                |     -1,722 |         -3 |        -75 |     -1,800 |
